code,trade_date,open,high,low,close,volume,pct_change,source
600519.SH,2026-04-03,1672.0,1729.55,1640.72,1713.6,29708109.0,0.0,sample
600519.SH,2026-04-06,1698.67,1739.81,1683.39,1733.25,29952035.0,1.15,sample
600519.SH,2026-04-07,1722.93,1756.66,1693.17,1723.78,11813549.0,-0.55,sample
600519.SH,2026-04-08,1702.84,1764.29,1673.17,1762.78,8943577.0,2.26,sample
600519.SH,2026-04-09,1786.54,1812.47,1754.17,1760.29,4615263.0,-0.14,sample
600519.SH,2026-04-10,1750.47,1783.78,1701.67,1716.11,23922046.0,-2.51,sample
600519.SH,2026-04-13,1738.0,1766.65,1714.4,1723.38,45956219.0,0.42,sample
600519.SH,2026-04-14,1730.68,1756.74,1678.29,1682.23,10466427.0,-2.39,sample
600519.SH,2026-04-15,1694.56,1724.58,1674.99,1699.67,48043940.0,1.04,sample
600519.SH,2026-04-16,1706.21,1709.89,1644.87,1670.61,7077988.0,-1.71,sample
600519.SH,2026-04-17,1658.1,1672.1,1638.74,1664.46,24220581.0,-0.37,sample
600519.SH,2026-04-20,1657.65,1666.68,1614.56,1635.49,14495093.0,-1.74,sample
600519.SH,2026-04-21,1640.38,1652.96,1636.71,1639.07,43184955.0,0.22,sample
600519.SH,2026-04-22,1617.79,1640.64,1593.08,1598.4,6912720.0,-2.48,sample
600519.SH,2026-04-23,1583.81,1613.24,1556.59,1589.67,24710593.0,-0.55,sample
600519.SH,2026-04-24,1573.06,1600.02,1541.48,1562.01,35545346.0,-1.74,sample
600519.SH,2026-04-27,1546.3,1552.92,1506.88,1526.03,10256655.0,-2.3,sample
600519.SH,2026-04-28,1522.71,1566.21,1512.12,1537.2,48933075.0,0.73,sample
600519.SH,2026-04-29,1549.44,1572.58,1525.66,1570.73,37366364.0,2.18,sample
600519.SH,2026-04-30,1564.41,1628.6,1537.03,1602.13,18313753.0,2.0,sample
600519.SH,2026-05-01,1579.58,1635.78,1574.61,1620.17,7749356.0,1.13,sample
600519.SH,2026-05-04,1627.54,1636.34,1556.38,1578.65,44471980.0,-2.56,sample
600519.SH,2026-05-05,1585.51,1616.42,1519.88,1539.35,16151613.0,-2.49,sample
600519.SH,2026-05-06,1546.82,1577.24,1505.27,1528.75,24919686.0,-0.69,sample
600519.SH,2026-05-07,1506.17,1544.78,1477.6,1538.83,8550677.0,0.66,sample
600519.SH,2026-05-08,1535.39,1564.28,1514.3,1555.79,5131171.0,1.1,sample
600519.SH,2026-05-11,1545.39,1579.09,1520.01,1549.31,33439183.0,-0.42,sample
600519.SH,2026-05-12,1560.06,1569.22,1512.43,1537.98,11818092.0,-0.73,sample
600519.SH,2026-05-13,1515.96,1572.41,1499.23,1560.26,5074141.0,1.45,sample
600519.SH,2026-05-14,1557.87,1562.67,1517.63,1545.96,24384682.0,-0.92,sample
600519.SH,2026-05-15,1533.6,1537.43,1504.72,1513.59,21130099.0,-2.09,sample
600519.SH,2026-05-18,1504.48,1534.12,1481.46,1522.32,48021718.0,0.58,sample
600519.SH,2026-05-19,1514.84,1580.98,1493.25,1555.79,32785688.0,2.2,sample
600519.SH,2026-05-20,1543.23,1581.15,1541.24,1572.85,2543989.0,1.1,sample
600519.SH,2026-05-21,1551.16,1612.37,1545.46,1609.9,13696056.0,2.36,sample
600519.SH,2026-05-22,1616.28,1659.58,1615.15,1630.72,10369578.0,1.29,sample
600519.SH,2026-05-25,1617.92,1625.31,1571.36,1593.49,13555760.0,-2.28,sample
600519.SH,2026-05-26,1611.49,1635.96,1577.95,1601.62,23221352.0,0.51,sample
600519.SH,2026-05-27,1584.76,1636.04,1581.07,1619.81,4476754.0,1.14,sample
600519.SH,2026-05-28,1628.98,1652.01,1616.66,1641.89,36303546.0,1.36,sample
600519.SH,2026-05-29,1623.03,1657.35,1597.26,1646.88,10143824.0,0.3,sample
600519.SH,2026-06-01,1623.83,1676.94,1601.86,1667.68,3184296.0,1.26,sample
600519.SH,2026-06-02,1653.76,1684.55,1651.36,1659.71,9834019.0,-0.48,sample
