code,trade_date,open,high,low,close,volume,amount,pct_change,source
600519.SH,2026-04-03,1663.56,1709.65,1646.99,1684.72,39481380.0,66515070513.6,0.0,sample
600519.SH,2026-04-06,1690.14,1705.6,1623.93,1639.77,17748201.0,29102967553.77,-2.67,sample
600519.SH,2026-04-07,1645.2,1649.97,1600.12,1621.18,33273221.0,53941880420.78,-1.13,sample
600519.SH,2026-04-08,1599.08,1619.84,1575.52,1618.33,16711618.0,27044912757.94,-0.18,sample
600519.SH,2026-04-09,1635.11,1667.53,1545.0,1572.42,22395686.0,35215424580.12,-2.84,sample
600519.SH,2026-04-10,1575.13,1627.53,1573.51,1596.22,25220585.0,40257602188.7,1.51,sample
600519.SH,2026-04-13,1583.31,1614.13,1545.97,1559.94,5112882.0,7975789147.08,-2.27,sample
600519.SH,2026-04-14,1558.84,1624.21,1552.77,1600.34,35889141.0,57434827907.94,2.59,sample
600519.SH,2026-04-15,1590.08,1637.27,1571.27,1605.19,33952823.0,54500731951.37,0.3,sample
600519.SH,2026-04-16,1606.16,1677.24,1602.17,1645.63,16399917.0,26988195412.71,2.52,sample
600519.SH,2026-04-17,1637.79,1664.46,1610.11,1656.92,20860839.0,34564741355.88,0.69,sample
600519.SH,2026-04-20,1660.26,1697.64,1653.9,1670.59,28073934.0,46900033401.06,0.83,sample
600519.SH,2026-04-21,1650.07,1666.62,1618.8,1622.03,21850742.0,35442559046.26,-2.91,sample
600519.SH,2026-04-22,1607.26,1639.63,1591.71,1614.43,45514398.0,73479809563.14,-0.47,sample
600519.SH,2026-04-23,1619.03,1647.3,1598.33,1610.78,17051625.0,27466416517.5,-0.23,sample
600519.SH,2026-04-24,1614.81,1651.4,1595.32,1623.79,37014214.0,60103310551.06,0.81,sample
600519.SH,2026-04-27,1608.16,1615.19,1581.79,1601.29,49547724.0,79340274963.96,-1.39,sample
600519.SH,2026-04-28,1581.6,1622.18,1555.66,1610.51,11428751.0,18406117773.01,0.58,sample
600519.SH,2026-04-29,1587.97,1620.79,1562.04,1605.19,11633860.0,18674555733.4,-0.33,sample
600519.SH,2026-04-30,1608.68,1629.93,1578.53,1590.8,13838639.0,22014506921.2,-0.9,sample
600519.SH,2026-05-01,1578.47,1585.53,1550.2,1563.19,38248245.0,59789274101.55,-1.74,sample
600519.SH,2026-05-04,1549.63,1563.4,1501.65,1527.85,31968270.0,48842721319.5,-2.26,sample
600519.SH,2026-05-05,1506.35,1522.41,1490.3,1492.21,47508334.0,70892411078.14,-2.33,sample
600519.SH,2026-05-06,1477.65,1492.82,1462.1,1486.99,32286868.0,48010249847.32,-0.35,sample
600519.SH,2026-05-07,1502.25,1543.77,1488.2,1519.84,31554561.0,47957883990.24,2.21,sample
600519.SH,2026-05-08,1527.62,1543.2,1515.56,1540.61,31716880.0,48863342496.8,1.37,sample
600519.SH,2026-05-11,1522.53,1543.91,1493.59,1508.28,37049410.0,55880884114.8,-2.1,sample
600519.SH,2026-05-12,1514.97,1521.66,1456.41,1485.32,3786062.0,5623513609.84,-1.52,sample
600519.SH,2026-05-13,1467.26,1528.05,1462.74,1501.72,44441752.0,66739067813.44,1.1,sample
600519.SH,2026-05-14,1511.8,1538.74,1468.54,1482.05,13005715.0,19275119915.75,-1.31,sample
600519.SH,2026-05-15,1464.37,1521.2,1452.52,1497.17,25823474.0,38662130568.58,1.02,sample
600519.SH,2026-05-18,1477.2,1556.34,1473.16,1530.71,32771647.0,50163887779.37,2.24,sample
600519.SH,2026-05-19,1544.98,1571.19,1525.22,1564.83,8578563.0,13423992739.29,2.23,sample
600519.SH,2026-05-20,1584.53,1604.05,1521.77,1549.19,44690927.0,69234737199.13,-1.0,sample
600519.SH,2026-05-21,1562.68,1603.28,1536.99,1593.6,1046785.0,1668156576.0,2.87,sample
600519.SH,2026-05-22,1580.11,1661.95,1553.07,1630.72,3141409.0,5122758484.48,2.33,sample
600519.SH,2026-05-25,1621.43,1693.25,1607.46,1678.68,18395588.0,30880305663.84,2.94,sample
600519.SH,2026-05-26,1688.23,1754.9,1661.16,1722.29,38379528.0,66100677279.12,2.6,sample
600519.SH,2026-05-27,1698.57,1724.67,1646.22,1671.78,28799846.0,48147006545.88,-2.93,sample
600519.SH,2026-05-28,1679.65,1703.61,1644.84,1646.67,45979588.0,75713208171.96,-1.5,sample
600519.SH,2026-05-29,1668.19,1691.03,1598.8,1603.81,13452830.0,21575783282.3,-2.6,sample
600519.SH,2026-06-01,1600.99,1628.18,1591.45,1622.0,10405688.0,16878025936.0,1.13,sample
600519.SH,2026-06-02,1619.41,1685.9,1605.82,1654.72,18004901.0,29793069782.72,2.02,sample
600519.SH,2026-06-03,1650.02,1674.07,1622.71,1629.73,3711405.0,6048588070.65,-1.51,sample
600519.SH,2026-06-04,1644.5,1688.69,1630.87,1669.66,20105671.0,33569634641.86,2.45,sample
600519.SH,2026-06-05,1684.32,1711.21,1645.75,1658.5,29313140.0,48615842690.0,-0.67,sample
600519.SH,2026-06-08,1650.3,1652.72,1640.96,1644.79,19127445.0,31460630261.55,-0.83,sample
600519.SH,2026-06-09,1656.92,1685.08,1646.91,1678.26,34450856.0,57817493590.56,2.03,sample
600519.SH,2026-06-10,1675.19,1735.6,1671.36,1702.48,44281842.0,75388950368.16,1.44,sample
600519.SH,2026-06-11,1688.36,1707.07,1687.85,1695.2,11578674.0,19628168164.8,-0.43,sample
600519.SH,2026-06-12,1687.04,1703.38,1659.73,1688.82,13437685.0,22693831181.7,-0.38,sample
600519.SH,2026-06-15,1672.35,1702.7,1622.71,1642.5,35295311.0,57972548317.5,-2.74,sample
600519.SH,2026-06-16,1623.14,1713.88,1599.32,1682.16,13427911.0,22587894767.76,2.41,sample
600519.SH,2026-06-17,1663.08,1679.96,1626.96,1637.31,1585703.0,2596287378.93,-2.67,sample
600519.SH,2026-06-18,1647.63,1659.69,1580.38,1599.61,28954540.0,46315971729.4,-2.3,sample
600519.SH,2026-06-19,1590.26,1599.43,1574.72,1576.6,33041836.0,52093758637.6,-1.44,sample
600519.SH,2026-06-22,1570.45,1611.7,1566.6,1591.11,42286185.0,67281971815.35,0.92,sample
600519.SH,2026-06-23,1572.12,1583.64,1549.93,1554.82,2231676.0,3469854478.32,-2.28,sample
600519.SH,2026-06-24,1574.32,1602.56,1510.34,1519.18,33234221.0,50488763858.78,-2.29,sample
600519.SH,2026-06-25,1525.95,1543.51,1463.63,1475.57,34427541.0,50800246673.37,-2.87,sample
